Player,Team,efficiency,2nd_stat,cluster,Unnamed: 3,_merge
알파 카바,고양 소노,14.2,2.93,3,,both
앤드류 니콜슨,대구 한국가스공사,28.52,9.51,2,https://kbl.or.kr/files/kbl/players-photo/291430.png,both
앨런 윌리엄스,고양 소노,29.52,8.9,2,https://kbl.or.kr/files/kbl/players-photo/291695.png,both
양재혁,대구 한국가스공사,4.06,2.32,4,https://kbl.or.kr/files/kbl/players-photo/291274.png,both
양준석,창원 LG,22.2,8.16,5,https://kbl.or.kr/files/kbl/players-photo/291576.png,both
여준형,부산 KCC,4.54,1.74,3,https://kbl.or.kr/files/kbl/players-photo/291592.png,both
오마리 스펠맨,원주 DB,28.77,4.8,2,https://kbl.or.kr/files/kbl/players-photo/291475.png,both
오세근,서울 SK,12.41,7.63,1,https://kbl.or.kr/files/kbl/players-photo/290450.png,both
오재현,서울 SK,19.91,7.61,0,https://kbl.or.kr/files/kbl/players-photo/291368.png,both
우동현,대구 한국가스공사,4.34,0.57,5,https://kbl.or.kr/files/kbl/players-photo/291182.png,both
유기상,창원 LG,17.66,8.02,0,https://kbl.or.kr/files/kbl/players-photo/291640.png,both
유슈 은도예,대구 한국가스공사,17.69,9.58,3,,both
윤성원,서울 삼성,4.62,1.41,1,https://kbl.or.kr/files/kbl/players-photo/291095.png,both
이경도,창원 LG,4.83,2.36,0,https://kbl.or.kr/files/kbl/players-photo/291644.png,both
이관희,원주 DB,14.06,8.15,0,https://kbl.or.kr/files/kbl/players-photo/290440.png,both
이근준,고양 소노,13.16,5.39,1,https://kbl.or.kr/files/kbl/players-photo/291748.png,both
이근휘,부산 KCC,8.56,8.2,4,https://kbl.or.kr/files/kbl/players-photo/291374.png,both
이대헌,대구 한국가스공사,14.3,8.36,1,https://kbl.or.kr/files/kbl/players-photo/290603.png,right_only
이대헌,울산 현대모비스,14.3,8.36,1,https://kbl.or.kr/files/kbl/players-photo/290603.png,both
이두원,수원 KT,4.61,1.37,3,https://kbl.or.kr/files/kbl/players-photo/291586.png,both
이선 알바노,원주 DB,27.55,8.45,5,https://kbl.or.kr/files/kbl/players-photo/291511.png,both
이스마엘 로메로,수원 KT,14.27,3.31,3,,both
이승우,울산 현대모비스,3.29,1.01,4,https://kbl.or.kr/files/kbl/players-photo/291485.png,both
이승현,부산 KCC,20.81,8.46,1,https://kbl.or.kr/files/kbl/players-photo/290787.png,both
이용우,원주 DB,6.54,4.0,4,https://kbl.or.kr/files/kbl/players-photo/291355.png,both
이우석,울산 현대모비스,23.89,8.17,0,https://kbl.or.kr/files/kbl/players-photo/291375.png,both
이원대,서울 삼성,4.1,3.33,5,https://kbl.or.kr/files/kbl/players-photo/290547.png,both
이원석,서울 삼성,19.74,9.06,1,https://kbl.or.kr/files/kbl/players-photo/291478.png,both
이재도,고양 소노,22.22,8.84,0,https://kbl.or.kr/files/kbl/players-photo/290765.png,both
이정현,서울 삼성,24.62,7.86,5,https://kbl.or.kr/files/kbl/players-photo/290381.png,both
이정현B,고양 소노,20.75,8.25,5,https://kbl.or.kr/files/kbl/players-photo/291488.png,both
이종현,안양 정관장,10.1,4.76,1,https://kbl.or.kr/files/kbl/players-photo/290987.png,both
이주영,부산 KCC,4.39,2.27,0,https://kbl.or.kr/files/kbl/players-photo/291651.png,both
이현석,수원 KT,4.97,2.88,4,https://kbl.or.kr/files/kbl/players-photo/290783.png,both
임동섭,고양 소노,12.66,8.2,4,https://kbl.or.kr/files/kbl/players-photo/290542.png,both
자밀 워니,서울 SK,38.33,9.0,2,https://kbl.or.kr/files/kbl/players-photo/291248.png,both
장문호,서울 SK,1.83,0.72,1,https://kbl.or.kr/files/kbl/players-photo/290998.png,both
장민국,창원 LG,4.1,2.44,1,https://kbl.or.kr/files/kbl/players-photo/290478.png,both
장재석,울산 현대모비스,11.29,6.78,3,https://kbl.or.kr/files/kbl/players-photo/290539.png,both
저스틴 구탕,서울 삼성,19.24,8.54,0,https://kbl.or.kr/files/kbl/players-photo/291512.png,both
전성현,창원 LG,9.65,6.64,5,https://kbl.or.kr/files/kbl/players-photo/290763.png,both
전준범,부산 KCC,9.47,6.19,4,https://kbl.or.kr/files/kbl/players-photo/290740.png,both
정성우,대구 한국가스공사,16.51,7.75,0,https://kbl.or.kr/files/kbl/players-photo/290901.png,both
정성조,고양 소노,7.02,1.44,0,https://kbl.or.kr/files/kbl/players-photo/291750.png,both
정인덕,창원 LG,14.53,7.98,4,https://kbl.or.kr/files/kbl/players-photo/290996.png,both
정준원,안양 정관장,6.05,3.3,4,https://kbl.or.kr/files/kbl/players-photo/290489.png,both
정창영,부산 KCC,11.82,8.41,5,https://kbl.or.kr/files/kbl/players-photo/290454.png,both
정효근,안양 정관장,17.75,8.44,1,https://kbl.or.kr/files/kbl/players-photo/290790.png,right_only
정효근,원주 DB,17.75,8.44,1,https://kbl.or.kr/files/kbl/players-photo/290790.png,both
정희재,고양 소노,11.21,7.68,1,https://kbl.or.kr/files/kbl/players-photo/290529.png,both
제레미아 틸먼,수원 KT,12.68,1.58,3,,both
조니 오브라이언트,안양 정관장,21.64,4.38,2,https://kbl.or.kr/files/kbl/players-photo/291500.png,both
조엘 카굴랑안,수원 KT,15.31,5.03,5,https://kbl.or.kr/files/kbl/players-photo/291777.png,both
조은후,고양 소노,4.59,1.31,0,https://kbl.or.kr/files/kbl/players-photo/291499.png,both
차민석,서울 삼성,5.42,2.88,1,https://kbl.or.kr/files/kbl/players-photo/291362.png,both
차바위,대구 한국가스공사,5.41,3.06,4,https://kbl.or.kr/files/kbl/players-photo/290488.png,both
최부경,서울 SK,12.91,8.92,1,https://kbl.or.kr/files/kbl/players-photo/290485.png,both
최성모,서울 삼성,17.63,8.02,5,https://kbl.or.kr/files/kbl/players-photo/290985.png,both
최성원,안양 정관장,9.98,7.37,0,https://kbl.or.kr/files/kbl/players-photo/291070.png,both
최성원,원주 DB,9.98,7.37,4,https://kbl.or.kr/files/kbl/players-photo/291070.png,right_only
최승욱,서울 삼성,8.38,6.57,4,https://kbl.or.kr/files/kbl/players-photo/291005.png,both
최승욱B,고양 소노,13.52,8.3,4,https://kbl.or.kr/files/kbl/players-photo/290785.png,both
최원혁,서울 SK,9.62,7.85,4,https://kbl.or.kr/files/kbl/players-photo/290784.png,both
최준용,부산 KCC,25.41,4.96,1,https://kbl.or.kr/files/kbl/players-photo/290993.png,both
최진광,수원 KT,4.62,1.81,5,https://kbl.or.kr/files/kbl/players-photo/291293.png,both
최진수,창원 LG,5.68,1.61,1,https://kbl.or.kr/files/kbl/players-photo/290417.png,both
최창진,수원 KT,6.55,2.35,5,https://kbl.or.kr/files/kbl/players-photo/290585.png,both
최현민,서울 삼성,11.35,8.17,4,https://kbl.or.kr/files/kbl/players-photo/290501.png,both
최형찬,창원 LG,3.7,1.59,4,https://kbl.or.kr/files/kbl/players-photo/291771.png,both
치나누 오누아쿠,원주 DB,24.92,9.11,2,https://kbl.or.kr/files/kbl/players-photo/291261.png,both
칼 타마요,창원 LG,22.86,8.44,1,https://kbl.or.kr/files/kbl/players-photo/291699.png,both
캐디 라렌,부산 KCC,29.73,9.92,3,https://kbl.or.kr/files/kbl/players-photo/291242.png,both
캐디 라렌,안양 정관장,29.73,9.92,3,https://kbl.or.kr/files/kbl/players-photo/291242.png,right_only
캘빈 에피스톨라,부산 KCC,10.09,7.54,0,https://kbl.or.kr/files/kbl/players-photo/291627.png,both
케빈 켐바오,고양 소노,26.35,7.19,1,https://kbl.or.kr/files/kbl/players-photo/291778.png,both
코피 코번,서울 삼성,29.91,10.23,3,https://kbl.or.kr/files/kbl/players-photo/291674.png,both
클리프 알렉산더,안양 정관장,6.04,0.98,1,,both
하비 고메즈,안양 정관장,13.86,9.07,1,https://kbl.or.kr/files/kbl/players-photo/291700.png,both
하윤기,수원 KT,18.63,8.8,3,https://kbl.or.kr/files/kbl/players-photo/291492.png,both
한승희,안양 정관장,13.01,7.68,1,https://kbl.or.kr/files/kbl/players-photo/291372.png,both
한호빈,울산 현대모비스,10.12,7.45,0,https://kbl.or.kr/files/kbl/players-photo/290754.png,both
한희원,수원 KT,12.94,7.32,4,https://kbl.or.kr/files/kbl/players-photo/290583.png,both
함지훈,울산 현대모비스,17.74,8.86,1,https://kbl.or.kr/files/kbl/players-photo/290100.png,both
허웅,부산 KCC,20.45,8.74,0,https://kbl.or.kr/files/kbl/players-photo/290776.png,both
허일영,창원 LG,9.04,7.33,4,https://kbl.or.kr/files/kbl/players-photo/290284.png,both
허훈,수원 KT,22.13,7.59,5,https://kbl.or.kr/files/kbl/players-photo/291085.png,both
